cases,date
USA-MA-CDCBI-CRSP_Q2PGMACVR2JQ66BV-2021,644
USA-MA-CDCBI-CRSP_EM53RIYBJCT7TCZQ-2021,670
USA-MA-CDCBI-CRSP_GJURNSUWXYAHNOVA-2021,705
USA-MA-CDCBI-CRSP_VUVAFHWHNCXESDN2-2021,672
USA-MA-CDCBI-CRSP_25ITTGQSJ6VI5F57-2021,685
USA-MA-CDCBI-CRSP_3RNGPH7IG3CJAUDY-2021,691
USA-MA-CDCBI-CRSP_JHPGSTHBAZSOPE3L-2021,677
USA-MA-CDCBI-CRSP_75JT46SSWDD57DXE-2021,677
USA-MA-CDCBI-CRSP_BVACSHVDQ6XAQ7FQ-2021,691
USA-MA-CDCBI-CRSP_6BTLRDRABFTJZDTM-2021,691
USA-MA-CDCBI-CRSP_5ALEHYTY55AZO5EX-2021,677
USA-MA-CDCBI-CRSP_4OW376JR3G7QFNPE-2021,677
USA-MA-CDCBI-CRSP_PA5JNE6MYOYXQ6ID-2021,681
USA-MA-CDCBI-CRSP_FFJ4IZVT6EQF33TI-2021,677
USA-MA-CDCBI-CRSP_35IFX6Q4WZKPMOZN-2021,677
USA-MA-CDCBI-CRSP_H7PNHHFPN5W5QG44-2021,677
USA-MA-CDCBI-CRSP_X2J4GSTLQECZ2OOG-2021,673
USA-MA-CDCBI-CRSP_Y5LNWGAJETZDWXKZ-2021,684
USA-MA-CDCBI-CRSP_NYFBSJWJFRFDUM75-2021,677
USA-MA-CDCBI-CRSP_VYVCQRQYBYM7ZCVR-2021,687
USA-MA-CDCBI-CRSP_PLUL5UP4C7IY2UT3-2021,677
USA-MA-CDCBI-CRSP_XXLY7PWAH5TM7EOO-2021,677
USA-MA-CDCBI-CRSP_UW5766SMFLRTBSRT-2021,681
USA-MA-CDCBI-CRSP_VRPVMZJR4HXQJWKW-2021,679
USA-MA-CDCBI-CRSP_YZDZ7S26ZXVKCLLR-2021,684
USA-MA-CDCBI-CRSP_YBNDZBTW3HBX7OMF-2021,684
USA-MA-CDCBI-CRSP_BEASJUOWCHEJK6QK-2021,692
USA-MA-CDCBI-CRSP_E33GU7P6PMRER7K7-2021,687
USA-MA-CDCBI-CRSP_OMZZQQA5SKTEXL56-2021,680
